Type,Location_X_mm,Location_Y_mm,Location_Z_mm,Magnitude,Phase_unit_Degree
Mx,0,0,1,0.999136285030342,-0.0012302282251811
My,0,0,1,0.000205670295800549,-170.984405777799
Mz,0,0,1,0.000200687530102278,1.84353869911812
Px,0,0,1,1.7361723027723e-07,93.0822220618787
Py,0,0,1,1.72259951331767e-07,84.3422656784765
Pz,0,0,1,2.83535536287327e-08,-89.9541272140752
