Type,Location_X_mm,Location_Y_mm,Location_Z_mm,Magnitude,Phase_unit_Degree
Mx,0,0,1,0.99004121169817,0.0963455264615323
My,0,0,1,0.00048908562596379,-0.178012164070971
Mz,0,0,1,0.000438324403537351,179.942103188467
Px,0,0,1,4.35406038905416e-05,89.7962895254029
Py,0,0,1,0.00131716797836868,-112.475020835303
Pz,0,0,1,5.85456959668555e-05,90.0319903763448
