Type,Location_X_mm,Location_Y_mm,Location_Z_mm,Magnitude,Phase_unit_Degree
Mx,0,0,1,0.997158906475183,-9.85216972090523e-05
My,0,0,1,0.000417381923784953,0.0170992464703584
Mz,0,0,1,0.00069859809471944,2.75725926285727e-05
Px,0,0,1,1.1513831983799e-05,90.1023091863654
Py,0,0,1,8.82106986805506e-05,90.1110675243454
Pz,0,0,1,5.45723019013665e-06,-89.9967781098507
